EmployeeNumber,Department,JobRole,MonthlyIncome,PerformanceRating,YearsAtCompany,Bonus,Deductions,NetSalary,PerformanceScore,Deduction
26,Research & Development,Manufacturing Director,4011.0,3.0,4.0,401.1,200.55,4211.55,68.0,200.55
27,Sales,Sales Representative,3407.0,4.0,5.0,340.70000000000005,170.35000000000002,3577.35,90.0,170.35000000000002
28,Research & Development,Research Director,11994.0,3.0,12.0,1199.4,599.7,12593.699999999999,84.0,599.7
30,Research & Development,Research Scientist,1232.0,3.0,0.0,123.2,61.6,1293.6000000000001,60.0,61.6
31,Research & Development,Research Scientist,2960.0,3.0,4.0,296.0,148.0,3108.0,68.0,148.0
32,Research & Development,Manager,19094.0,3.0,14.0,1909.4,954.7,20048.7,88.0,954.7
33,Research & Development,Research Scientist,3919.0,4.0,10.0,391.9,195.95,4114.95,100.0,195.95000000000002
35,Sales,Sales Executive,6825.0,3.0,9.0,682.5,341.25,7166.25,78.0,341.25
36,Research & Development,Healthcare Representative,10248.0,3.0,22.0,1024.8,512.4,10760.4,104.0,512.4
38,Sales,Manager,18947.0,3.0,2.0,1894.7,947.35,19894.350000000002,64.0,947.35
39,Research & Development,Laboratory Technician,2496.0,3.0,1.0,249.6,124.8,2620.7999999999997,62.0,124.80000000000001
40,Research & Development,Healthcare Representative,6465.0,3.0,4.0,646.5,323.25,6788.25,68.0,323.25
41,Research & Development,Laboratory Technician,2206.0,3.0,10.0,220.6,110.3,2316.2999999999997,80.0,110.30000000000001
42,Sales,Sales Representative,2086.0,3.0,1.0,208.6,104.3,2190.2999999999997,62.0,104.30000000000001
45,Research & Development,Research Scientist,2293.0,3.0,2.0,229.3,114.65,2407.65,64.0,114.65
46,Research & Development,Research Scientist,2645.0,3.0,5.0,264.5,132.25,2777.25,70.0,132.25
47,Sales,Sales Representative,2683.0,3.0,3.0,268.3,134.15,2817.15,66.0,134.15
49,Sales,Sales Representative,2014.0,3.0,2.0,201.4,100.7,2114.7000000000003,64.0,100.7
51,Research & Development,Research Scientist,3419.0,3.0,1.0,341.90000000000003,170.95000000000002,3589.9500000000003,62.0,170.95000000000002
52,Sales,Sales Executive,5376.0,3.0,5.0,537.6,268.8,5644.8,70.0,268.8
53,Research & Development,Laboratory Technician,1951.0,3.0,1.0,195.1,97.55,2048.5499999999997,62.0,97.55000000000001
54,Research & Development,Laboratory Technician,2341.0,3.0,1.0,234.1,117.05,2458.0499999999997,62.0,117.05000000000001
55,Research & Development,Laboratory Technician,2293.0,3.0,1.0,229.3,114.65,2407.65,62.0,114.65
56,Sales,Sales Executive,8726.0,3.0,9.0,872.6,436.3,9162.300000000001,78.0,436.3
57,Research & Development,Laboratory Technician,4011.0,4.0,12.0,401.1,200.55,4211.55,104.0,200.55
58,Research & Development,Research Director,19545.0,3.0,22.0,1954.5,977.25,20522.25,104.0,977.25
60,Sales,Sales Executive,4568.0,4.0,9.0,456.8,228.4,4796.400000000001,98.0,228.4
61,Research & Development,Research Scientist,3022.0,4.0,1.0,302.2,151.1,3173.1,82.0,151.1
62,Sales,Sales Executive,5772.0,4.0,9.0,577.2,288.6,6060.599999999999,98.0,288.6
63,Research & Development,Laboratory Technician,2269.0,3.0,1.0,226.9,113.45,2382.4500000000003,62.0,113.45
64,Research & Development,Laboratory Technician,5381.0,3.0,1.0,538.1,269.05,5650.05,62.0,269.05
65,Research & Development,Laboratory Technician,3441.0,3.0,2.0,344.1,172.05,3613.0499999999997,64.0,172.05
68,Sales,Sales Executive,5454.0,4.0,4.0,545.4,272.7,5726.7,88.0,272.7
70,Research & Development,Healthcare Representative,9884.0,3.0,4.0,988.4,494.2000000000001,10378.199999999999,68.0,494.20000000000005
72,Sales,Sales Executive,4157.0,3.0,2.0,415.7000000000001,207.85,4364.849999999999,64.0,207.85000000000002
73,Research & Development,Research Director,13458.0,3.0,15.0,1345.8000000000002,672.9000000000001,14130.9,90.0,672.9000000000001
74,Sales,Sales Executive,9069.0,4.0,9.0,906.9,453.4500000000001,9522.449999999999,98.0,453.45000000000005
75,Research & Development,Laboratory Technician,4014.0,3.0,2.0,401.4,200.7,4214.7,64.0,200.70000000000002
76,Research & Development,Laboratory Technician,5915.0,4.0,7.0,591.5,295.75,6210.75,94.0,295.75
77,Research & Development,Manufacturing Director,5993.0,3.0,7.0,599.3000000000001,299.65000000000003,6292.650000000001,74.0,299.65000000000003
78,Research & Development,Manufacturing Director,6162.0,4.0,9.0,616.2,308.1,6470.099999999999,98.0,308.1
79,Research & Development,Laboratory Technician,2406.0,3.0,10.0,240.6,120.3,2526.2999999999997,80.0,120.30000000000001
80,Research & Development,Research Director,18740.0,3.0,27.0,1874.0,937.0,19677.0,114.0,937.0
81,Sales,Sales Executive,7637.0,3.0,21.0,763.7,381.85,8018.85,102.0,381.85
83,Research & Development,Healthcare Representative,10096.0,3.0,17.0,1009.6,504.8,10600.800000000001,94.0,504.8
84,Research & Development,Manager,14756.0,3.0,5.0,1475.6,737.8000000000001,15493.800000000001,70.0,737.8000000000001
85,Research & Development,Manufacturing Director,6499.0,3.0,6.0,649.9000000000001,324.95000000000005,6823.95,72.0,324.95000000000005
86,Research & Development,Research Scientist,9724.0,3.0,1.0,972.4,486.2000000000001,10210.199999999999,62.0,486.20000000000005
88,Research & Development,Research Scientist,2194.0,3.0,3.0,219.4,109.7,2303.7000000000003,66.0,109.7
90,Research & Development,Research Scientist,3388.0,3.0,1.0,338.8,169.4,3557.4,62.0,169.4
91,Sales,Sales Executive,5473.0,3.0,4.0,547.3000000000001,273.65000000000003,5746.650000000001,68.0,273.65000000000003
94,Research & Development,Research Scientist,2703.0,4.0,5.0,270.3,135.15,2838.15,90.0,135.15
95,Research & Development,Research Scientist,2501.0,3.0,1.0,250.1,125.05,2626.0499999999997,62.0,125.05000000000001
96,Research & Development,Research Scientist,6220.0,3.0,10.0,622.0,311.0,6531.0,80.0,311.0
97,Research & Development,Laboratory Technician,3038.0,3.0,1.0,303.8,151.9,3189.9,62.0,151.9
98,Research & Development,Manufacturing Director,4424.0,4.0,11.0,442.4,221.2,4645.2,102.0,221.20000000000002
100,Sales,Sales Executive,4312.0,3.0,15.0,431.2000000000001,215.6,4527.599999999999,90.0,215.60000000000002
101,Research & Development,Research Director,13245.0,3.0,0.0,1324.5,662.25,13907.25,60.0,662.25
102,Research & Development,Research Director,13664.0,3.0,5.0,1366.4,683.2,14347.199999999999,70.0,683.2
103,Human Resources,Human Resources,5021.0,4.0,4.0,502.1,251.05,5272.05,88.0,251.05
104,Research & Development,Laboratory Technician,5126.0,3.0,10.0,512.6,256.3,5382.3,80.0,256.3
105,Research & Development,Research Scientist,2859.0,3.0,6.0,285.90000000000003,142.95000000000002,3001.9500000000003,72.0,142.95000000000002
106,Sales,Sales Executive,10239.0,3.0,1.0,1023.9,511.9500000000001,10750.949999999999,62.0,511.95000000000005
107,Research & Development,Research Scientist,5329.0,3.0,13.0,532.9,266.45,5595.45,86.0,266.45
110,Research & Development,Manufacturing Director,4325.0,3.0,5.0,432.5,216.25,4541.25,70.0,216.25
112,Research & Development,Manufacturing Director,7260.0,3.0,6.0,726.0,363.0,7623.0,72.0,363.0
113,Sales,Sales Representative,2322.0,3.0,0.0,232.2,116.1,2438.1,60.0,116.10000000000001
116,Research & Development,Laboratory Technician,2075.0,4.0,4.0,207.5,103.75,2178.75,88.0,103.75
117,Research & Development,Healthcare Representative,4152.0,3.0,11.0,415.2000000000001,207.6,4359.599999999999,82.0,207.60000000000002
118,Sales,Sales Executive,9619.0,3.0,9.0,961.9,480.9500000000001,10099.949999999999,78.0,480.95000000000005
119,Research & Development,Healthcare Representative,13503.0,4.0,22.0,1350.3000000000002,675.1500000000001,14178.15,124.0,675.1500000000001
120,Sales,Sales Executive,5441.0,4.0,10.0,544.1,272.05,5713.05,100.0,272.05
121,Sales,Sales Executive,5209.0,3.0,11.0,520.9,260.45,5469.45,82.0,260.45
124,Research & Development,Healthcare Representative,10673.0,3.0,10.0,1067.3,533.65,11206.65,80.0,533.65
125,Sales,Sales Executive,5010.0,3.0,11.0,501.0,250.5,5260.5,82.0,250.5
126,Research & Development,Research Director,13549.0,3.0,4.0,1354.9,677.45,14226.449999999999,68.0,677.45
128,Sales,Sales Executive,4999.0,4.0,3.0,499.9,249.95,5248.95,86.0,249.95000000000002
129,Sales,Sales Executive,4221.0,3.0,5.0,422.1,211.05,4432.05,70.0,211.05
131,Sales,Sales Executive,13872.0,3.0,37.0,1387.2,693.6,14565.6,134.0,693.6
132,Research & Development,Laboratory Technician,2042.0,3.0,3.0,204.2,102.1,2144.1,66.0,102.10000000000001
133,Human Resources,Human Resources,2073.0,4.0,3.0,207.3,103.65,2176.65,86.0,103.65
134,Research & Development,Research Scientist,2956.0,3.0,1.0,295.6,147.8,3103.7999999999997,62.0,147.8
137,Research & Development,Laboratory Technician,2926.0,3.0,1.0,292.6,146.3,3072.2999999999997,62.0,146.3
138,Research & Development,Research Scientist,4809.0,3.0,16.0,480.9,240.45,5049.45,92.0,240.45000000000002
139,Research & Development,Healthcare Representative,5163.0,3.0,1.0,516.3000000000001,258.15000000000003,5421.150000000001,62.0,258.15000000000003
140,Human Resources,Manager,18844.0,4.0,3.0,1884.4,942.2,19786.2,86.0,942.2
141,Research & Development,Research Director,18172.0,3.0,8.0,1817.2,908.6,19080.600000000002,76.0,908.6
142,Sales,Sales Executive,5744.0,3.0,6.0,574.4,287.2,6031.2,72.0,287.2
143,Research & Development,Research Scientist,2889.0,3.0,2.0,288.90000000000003,144.45000000000002,3033.4500000000003,64.0,144.45000000000002
144,Research & Development,Laboratory Technician,2871.0,3.0,0.0,287.1,143.55,3014.5499999999997,60.0,143.55
145,Research & Development,Healthcare Representative,7484.0,4.0,13.0,748.4000000000001,374.2000000000001,7858.2,106.0,374.20000000000005
147,Research & Development,Laboratory Technician,6074.0,4.0,9.0,607.4,303.7,6377.7,98.0,303.7
148,Human Resources,Manager,17328.0,3.0,5.0,1732.8000000000002,866.4000000000001,18194.399999999998,70.0,866.4000000000001
150,Research & Development,Laboratory Technician,2774.0,3.0,5.0,277.40000000000003,138.70000000000002,2912.7000000000003,70.0,138.70000000000002
151,Research & Development,Research Scientist,4505.0,3.0,1.0,450.5,225.25,4730.25,62.0,225.25
152,Sales,Sales Executive,7428.0,3.0,5.0,742.8000000000001,371.4,7799.400000000001,70.0,371.40000000000003
153,Research & Development,Manager,11631.0,3.0,11.0,1163.1,581.5500000000001,12212.550000000001,82.0,581.5500000000001
154,Sales,Sales Executive,9738.0,3.0,9.0,973.8,486.9,10224.9,78.0,486.90000000000003
155,Research & Development,Laboratory Technician,2835.0,4.0,1.0,283.5,141.75,2976.75,82.0,141.75
158,Sales,Manager,16959.0,3.0,25.0,1695.9,847.95,17806.95,110.0,847.95
159,Research & Development,Research Scientist,2613.0,4.0,10.0,261.3,130.65,2743.65,100.0,130.65
160,Sales,Sales Executive,6146.0,3.0,7.0,614.6,307.3,6453.3,74.0,307.3
161,Research & Development,Research Scientist,4963.0,3.0,5.0,496.3,248.15,5211.150000000001,70.0,248.15
162,Research & Development,Research Director,19537.0,3.0,20.0,1953.7,976.85,20513.850000000002,100.0,976.85
163,Sales,Sales Executive,6172.0,3.0,7.0,617.2,308.6,6480.599999999999,74.0,308.6
164,Research & Development,Research Scientist,2368.0,3.0,5.0,236.8,118.4,2486.4,70.0,118.4
165,Research & Development,Healthcare Representative,10312.0,3.0,40.0,1031.2,515.6,10827.6,140.0,515.6
167,Sales,Sales Representative,1675.0,3.0,0.0,167.5,83.75,1758.75,60.0,83.75
169,Research & Development,Laboratory Technician,2523.0,3.0,2.0,252.3,126.15,2649.15,64.0,126.15
170,Research & Development,Manufacturing Director,6567.0,3.0,15.0,656.7,328.35,6895.349999999999,90.0,328.35
171,Research & Development,Research Scientist,4739.0,3.0,3.0,473.9,236.95,4975.95,66.0,236.95000000000002
174,Sales,Sales Executive,9208.0,3.0,2.0,920.8,460.4,9668.4,64.0,460.40000000000003
175,Sales,Sales Executive,4559.0,3.0,2.0,455.9,227.95,4786.95,64.0,227.95000000000002
176,Sales,Sales Executive,8189.0,3.0,9.0,818.9000000000001,409.4500000000001,8598.449999999999,78.0,409.45000000000005
177,Human Resources,Human Resources,2942.0,4.0,8.0,294.2,147.1,3089.1,96.0,147.1
178,Research & Development,Manufacturing Director,4941.0,4.0,3.0,494.1,247.05,5188.05,86.0,247.05
179,Research & Development,Manufacturing Director,10650.0,3.0,4.0,1065.0,532.5,11182.5,68.0,532.5
182,Sales,Sales Executive,5902.0,3.0,15.0,590.2,295.1,6197.099999999999,90.0,295.1
183,Sales,Sales Executive,8639.0,3.0,2.0,863.9000000000001,431.9500000000001,9070.949999999999,64.0,431.95000000000005
184,Human Resources,Human Resources,6347.0,3.0,11.0,634.7,317.35,6664.349999999999,82.0,317.35
190,Research & Development,Laboratory Technician,4200.0,4.0,5.0,420.0,210.0,4410.0,90.0,210.0
192,Research & Development,Research Scientist,3452.0,3.0,6.0,345.20000000000005,172.60000000000002,3624.6,72.0,172.60000000000002
193,Research & Development,Research Scientist,4317.0,4.0,3.0,431.7000000000001,215.85,4532.849999999999,86.0,215.85000000000002
194,Research & Development,Research Scientist,2632.0,3.0,5.0,263.2,131.6,2763.6,70.0,131.6
195,Sales,Sales Executive,4668.0,3.0,8.0,466.8,233.4,4901.400000000001,76.0,233.4
197,Research & Development,Research Scientist,3204.0,3.0,3.0,320.40000000000003,160.20000000000002,3364.2000000000003,66.0,160.20000000000002
198,Research & Development,Laboratory Technician,2720.0,3.0,5.0,272.0,136.0,2856.0,70.0,136.0
199,Research & Development,Manager,17181.0,3.0,7.0,1718.1,859.0500000000001,18040.05,74.0,859.0500000000001
200,Research & Development,Laboratory Technician,2238.0,4.0,5.0,223.8,111.9,2349.9,90.0,111.9
201,Research & Development,Laboratory Technician,1483.0,3.0,1.0,148.3,74.15,1557.1499999999999,62.0,74.15
202,Research & Development,Research Scientist,5605.0,3.0,20.0,560.5,280.25,5885.25,100.0,280.25
204,Sales,Sales Executive,7295.0,3.0,10.0,729.5,364.75,7659.75,80.0,364.75
205,Sales,Sales Representative,2306.0,4.0,7.0,230.6,115.3,2421.2999999999997,94.0,115.30000000000001
206,Research & Development,Laboratory Technician,2348.0,3.0,17.0,234.8,117.4,2465.4,94.0,117.4
207,Sales,Sales Executive,8998.0,3.0,9.0,899.8000000000001,449.9,9447.9,78.0,449.90000000000003
208,Research & Development,Manufacturing Director,4319.0,3.0,10.0,431.9,215.95,4534.95,80.0,215.95000000000002
211,Research & Development,Manufacturing Director,6132.0,3.0,1.0,613.2,306.6,6438.599999999999,62.0,306.6
214,Research & Development,Research Scientist,3346.0,4.0,1.0,334.6,167.3,3513.2999999999997,82.0,167.3
215,Sales,Sales Executive,10855.0,3.0,12.0,1085.5,542.75,11397.75,84.0,542.75
216,Sales,Sales Representative,2231.0,3.0,4.0,223.1,111.55,2342.5499999999997,68.0,111.55000000000001
217,Research & Development,Research Scientist,2323.0,4.0,2.0,232.3,116.15,2439.15,84.0,116.15
218,Research & Development,Research Scientist,2024.0,3.0,2.0,202.4,101.2,2125.2000000000003,64.0,101.2
221,Research & Development,Research Scientist,2713.0,3.0,5.0,271.3,135.65,2848.65,70.0,135.65
223,Research & Development,Healthcare Representative,9439.0,3.0,5.0,943.9,471.9500000000001,9910.949999999999,70.0,471.95000000000005
224,Research & Development,Research Scientist,2566.0,3.0,1.0,256.6,128.3,2694.2999999999997,62.0,128.3
226,Research & Development,Manager,19926.0,3.0,5.0,1992.6,996.3,20922.3,70.0,996.3000000000001
227,Research & Development,Research Scientist,2451.0,3.0,9.0,245.1,122.55,2573.5499999999997,78.0,122.55000000000001
228,Sales,Sales Executive,9419.0,3.0,10.0,941.9,470.9500000000001,9889.949999999999,80.0,470.95000000000005
230,Sales,Sales Executive,8686.0,4.0,8.0,868.6,434.3,9120.300000000001,96.0,434.3
231,Research & Development,Research Scientist,3038.0,4.0,5.0,303.8,151.9,3189.9,90.0,151.9
233,Research & Development,Research Scientist,3058.0,3.0,5.0,305.8,152.9,3210.9,70.0,152.9
235,Sales,Sales Representative,2325.0,4.0,0.0,232.5,116.25,2441.25,80.0,116.25
238,Research & Development,Laboratory Technician,2088.0,3.0,8.0,208.8,104.4,2192.4,76.0,104.4
239,Research & Development,Laboratory Technician,3072.0,3.0,12.0,307.20000000000005,153.60000000000002,3225.6,84.0,153.60000000000002
240,Sales,Sales Executive,5006.0,3.0,5.0,500.6,250.3,5256.3,70.0,250.3
241,Research & Development,Research Scientist,4257.0,3.0,2.0,425.7000000000001,212.85,4469.849999999999,64.0,212.85000000000002
242,Research & Development,Research Scientist,2500.0,3.0,3.0,250.0,125.0,2625.0,66.0,125.0
243,Research & Development,Laboratory Technician,1102.0,4.0,1.0,110.2,55.1,1157.1000000000001,82.0,55.1
244,Sales,Sales Executive,10453.0,4.0,24.0,1045.3,522.65,10975.65,128.0,522.65
245,Research & Development,Laboratory Technician,2288.0,3.0,2.0,228.8,114.4,2402.4,64.0,114.4
246,Research & Development,Research Scientist,3929.0,4.0,4.0,392.9,196.45,4125.45,88.0,196.45000000000002
247,Research & Development,Research Scientist,2311.0,3.0,3.0,231.1,115.55,2426.5499999999997,66.0,115.55000000000001
248,Sales,Sales Representative,3140.0,4.0,4.0,314.0,157.0,3297.0,88.0,157.0
249,Research & Development,Laboratory Technician,3690.0,3.0,3.0,369.0,184.5,3874.5,66.0,184.5
250,Research & Development,Manufacturing Director,4450.0,3.0,4.0,445.0,222.5,4672.5,68.0,222.5
252,Research & Development,Research Scientist,2756.0,3.0,8.0,275.6,137.8,2893.7999999999997,76.0,137.8
253,Research & Development,Manager,19033.0,3.0,20.0,1903.3,951.65,19984.649999999998,100.0,951.6500000000001
254,Research & Development,Research Director,18722.0,3.0,24.0,1872.2,936.1,19658.100000000002,108.0,936.1
256,Research & Development,Manufacturing Director,9547.0,3.0,10.0,954.7,477.35,10024.35,80.0,477.35
258,Research & Development,Healthcare Representative,13734.0,3.0,7.0,1373.4,686.7,14420.699999999999,74.0,686.7
259,Research & Development,Manager,19999.0,3.0,33.0,1999.9,999.95,20998.95,126.0,999.95
260,Research & Development,Research Scientist,2279.0,3.0,7.0,227.9,113.95,2392.9500000000003,74.0,113.95
261,Research & Development,Manufacturing Director,5916.0,3.0,1.0,591.6,295.8,6211.8,62.0,295.8
262,Research & Development,Research Scientist,2089.0,3.0,5.0,208.9,104.45,2193.4500000000003,70.0,104.45
264,Research & Development,Manager,16792.0,4.0,20.0,1679.2,839.6,17631.600000000002,120.0,839.6
267,Research & Development,Research Scientist,3564.0,3.0,8.0,356.40000000000003,178.20000000000002,3742.2000000000003,76.0,178.20000000000002
269,Research & Development,Laboratory Technician,4425.0,3.0,6.0,442.5,221.25,4646.25,72.0,221.25
270,Research & Development,Manufacturing Director,5265.0,3.0,5.0,526.5,263.25,5528.25,70.0,263.25
271,Research & Development,Manufacturing Director,6553.0,3.0,1.0,655.3000000000001,327.65000000000003,6880.650000000001,62.0,327.65000000000003
273,Research & Development,Manufacturing Director,6261.0,3.0,7.0,626.1,313.05,6574.05,74.0,313.05
274,Research & Development,Manufacturing Director,4298.0,3.0,2.0,429.8,214.9,4512.900000000001,64.0,214.9
275,Research & Development,Manufacturing Director,6804.0,3.0,7.0,680.4000000000001,340.20000000000005,7144.2,74.0,340.20000000000005
277,Research & Development,Research Scientist,3815.0,3.0,5.0,381.5,190.75,4005.75,70.0,190.75
281,Research & Development,Laboratory Technician,2741.0,3.0,7.0,274.1,137.05,2878.0499999999997,74.0,137.05
282,Research & Development,Healthcare Representative,6673.0,3.0,1.0,667.3000000000001,333.65000000000003,7006.650000000001,62.0,333.65000000000003
283,Sales,Sales Executive,7639.0,4.0,10.0,763.9000000000001,381.9500000000001,8020.95,100.0,381.95000000000005
284,Research & Development,Research Scientist,2328.0,3.0,4.0,232.8,116.4,2444.4,68.0,116.4
286,Research & Development,Laboratory Technician,2153.0,3.0,8.0,215.3,107.65,2260.65,76.0,107.65
287,Research & Development,Healthcare Representative,4876.0,3.0,3.0,487.6,243.8,5119.8,66.0,243.8
288,Research & Development,Healthcare Representative,9396.0,3.0,4.0,939.6,469.8,9865.800000000001,68.0,469.8
291,Sales,Sales Executive,10400.0,3.0,14.0,1040.0,520.0,10920.0,88.0,520.0
292,Research & Development,Manufacturing Director,8474.0,4.0,11.0,847.4000000000001,423.7000000000001,8897.699999999999,102.0,423.70000000000005
293,Sales,Sales Executive,9981.0,3.0,7.0,998.1,499.05,10480.050000000001,74.0,499.05
296,Research & Development,Research Director,12490.0,3.0,10.0,1249.0,624.5,13114.5,80.0,624.5
297,Research & Development,Research Scientist,2657.0,3.0,5.0,265.7,132.85,2789.85,70.0,132.85
298,Sales,Manager,13591.0,3.0,1.0,1359.1,679.5500000000001,14270.550000000001,62.0,679.5500000000001
299,Sales,Sales Executive,6696.0,3.0,6.0,669.6,334.8,7030.8,72.0,334.8
300,Research & Development,Research Scientist,2058.0,3.0,6.0,205.8,102.9,2160.9,72.0,102.9
302,Sales,Sales Executive,8865.0,3.0,19.0,886.5,443.25,9308.25,98.0,443.25
303,Sales,Sales Executive,5940.0,3.0,6.0,594.0,297.0,6237.0,72.0,297.0
304,Research & Development,Laboratory Technician,5914.0,3.0,13.0,591.4,295.7,6209.7,86.0,295.7
305,Research & Development,Research Scientist,2622.0,4.0,3.0,262.2,131.1,2753.1,86.0,131.1
306,Research & Development,Research Director,12185.0,3.0,10.0,1218.5,609.25,12794.25,80.0,609.25
307,Sales,Sales Executive,10609.0,3.0,16.0,1060.9,530.45,11139.449999999999,92.0,530.45
308,Research & Development,Manufacturing Director,4345.0,3.0,5.0,434.5,217.25,4562.25,70.0,217.25
309,Research & Development,Research Scientist,2177.0,3.0,1.0,217.7,108.85,2285.85,62.0,108.85000000000001
311,Sales,Sales Representative,2793.0,3.0,9.0,279.3,139.65,2932.65,78.0,139.65
312,Sales,Sales Executive,7918.0,3.0,11.0,791.8000000000001,395.9,8313.9,82.0,395.90000000000003
314,Sales,Sales Executive,8789.0,3.0,10.0,878.9000000000001,439.4500000000001,9228.449999999999,80.0,439.45000000000005
315,Research & Development,Research Scientist,2389.0,3.0,4.0,238.9,119.45,2508.4500000000003,68.0,119.45
316,Research & Development,Laboratory Technician,3212.0,3.0,2.0,321.20000000000005,160.60000000000002,3372.6,64.0,160.60000000000002
319,Research & Development,Manager,19232.0,3.0,22.0,1923.2,961.6,20193.600000000002,104.0,961.6
321,Human Resources,Human Resources,2267.0,3.0,2.0,226.7,113.35,2380.35,64.0,113.35000000000001
323,Sales,Manager,19517.0,3.0,7.0,1951.7,975.85,20492.850000000002,74.0,975.85
325,Research & Development,Laboratory Technician,2436.0,3.0,5.0,243.6,121.8,2557.7999999999997,70.0,121.80000000000001
327,Sales,Manager,16064.0,4.0,17.0,1606.4,803.2,16867.2,114.0,803.2
328,Research & Development,Laboratory Technician,2707.0,4.0,9.0,270.7,135.35,2842.35,98.0,135.35
329,Sales,Manager,19068.0,3.0,33.0,1906.8,953.4,20021.399999999998,126.0,953.4000000000001
330,Sales,Sales Representative,3931.0,3.0,4.0,393.1,196.55,4127.55,68.0,196.55
331,Research & Development,Laboratory Technician,3730.0,3.0,3.0,373.0,186.5,3916.5,66.0,186.5
332,Research & Development,Laboratory Technician,2232.0,3.0,3.0,223.2,111.6,2343.6,66.0,111.60000000000001
333,Sales,Sales Executive,4465.0,3.0,3.0,446.5,223.25,4688.25,66.0,223.25
334,Research & Development,Research Scientist,3072.0,3.0,1.0,307.20000000000005,153.60000000000002,3225.6,62.0,153.60000000000002
335,Research & Development,Research Scientist,3319.0,3.0,9.0,331.90000000000003,165.95000000000002,3484.9500000000003,78.0,165.95000000000002
336,Research & Development,Manager,19202.0,3.0,24.0,1920.2,960.1,20162.100000000002,108.0,960.1
337,Research & Development,Research Director,13675.0,3.0,2.0,1367.5,683.75,14358.75,64.0,683.75
338,Research & Development,Research Scientist,2911.0,3.0,2.0,291.1,145.55,3056.5499999999997,64.0,145.55
339,Research & Development,Manufacturing Director,5957.0,3.0,11.0,595.7,297.85,6254.849999999999,82.0,297.85
340,Research & Development,Research Scientist,3920.0,3.0,3.0,392.0,196.0,4116.0,66.0,196.0
341,Research & Development,Manufacturing Director,6434.0,3.0,3.0,643.4000000000001,321.70000000000005,6755.7,66.0,321.70000000000005
342,Research & Development,Manufacturing Director,10048.0,3.0,1.0,1004.8,502.4,10550.4,62.0,502.40000000000003
343,Research & Development,Healthcare Representative,10938.0,4.0,19.0,1093.8,546.9,11484.9,118.0,546.9
346,Research & Development,Research Scientist,2340.0,3.0,6.0,234.0,117.0,2457.0,72.0,117.0
347,Research & Development,Research Scientist,6545.0,3.0,3.0,654.5,327.25,6872.25,66.0,327.25
349,Sales,Sales Executive,6931.0,3.0,3.0,693.1,346.55,7277.55,66.0,346.55
350,Research & Development,Manufacturing Director,4898.0,3.0,4.0,489.8,244.9,5142.900000000001,68.0,244.9
351,Research & Development,Laboratory Technician,2593.0,3.0,9.0,259.3,129.65,2722.65,78.0,129.65
352,Research & Development,Research Director,19436.0,3.0,21.0,1943.6,971.8,20407.8,102.0,971.8000000000001
353,Research & Development,Research Scientist,2723.0,3.0,1.0,272.3,136.15,2859.15,62.0,136.15
355,Research & Development,Laboratory Technician,3479.0,3.0,5.0,347.90000000000003,173.95000000000002,3652.9500000000003,70.0,173.95000000000002
